,image_path,label
30,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10421.jpg,Cloudy
31,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10389.jpg,Cloudy
32,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10451.jpg,Cloudy
33,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10326.jpg,Cloudy
34,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10265.jpg,Cloudy
35,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10263.jpg,Cloudy
36,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10201.jpg,Cloudy
37,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10293.jpg,Cloudy
38,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10225.jpg,Cloudy
39,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10177.jpg,Cloudy
40,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10231.jpg,Cloudy
41,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1126.jpg,Cloudy
42,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11218.jpg,Cloudy
43,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11240.jpg,Cloudy
44,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11259.jpg,Cloudy
45,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11161.jpg,Cloudy
46,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11191.jpg,Cloudy
47,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11150.jpg,Cloudy
48,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11118.jpg,Cloudy
49,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11132.jpg,Cloudy
50,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11211.jpg,Cloudy
51,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11050.jpg,Cloudy
52,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11008.jpg,Cloudy
53,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11047.jpg,Cloudy
54,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10891.jpg,Cloudy
55,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1086.jpg,Cloudy
56,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10856.jpg,Cloudy
57,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1092.jpg,Cloudy
58,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10889.jpg,Cloudy
59,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10908.jpg,Cloudy
60,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10952.jpg,Cloudy
61,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10816.jpg,Cloudy
62,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10667.jpg,Cloudy
63,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10687.jpg,Cloudy
64,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_108.jpg,Cloudy
65,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10666.jpg,Cloudy
66,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1070.jpg,Cloudy
67,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10661.jpg,Cloudy
68,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_10710.jpg,Cloudy
69,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11644.jpg,Cloudy
70,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11686.jpg,Cloudy
71,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11663.jpg,Cloudy
72,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11597.jpg,Cloudy
73,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11706.jpg,Cloudy
74,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11569.jpg,Cloudy
75,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11561.jpg,Cloudy
76,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11549.jpg,Cloudy
77,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11415.jpg,Cloudy
78,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11512.jpg,Cloudy
79,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11486.jpg,Cloudy
80,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11354.jpg,Cloudy
81,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11352.jpg,Cloudy
82,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1140.jpg,Cloudy
83,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11492.jpg,Cloudy
84,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11326.jpg,Cloudy
85,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11325.jpg,Cloudy
86,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11317.jpg,Cloudy
87,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11312.jpg,Cloudy
88,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11305.jpg,Cloudy
89,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11294.jpg,Cloudy
90,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11260.jpg,Cloudy
91,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11301.jpg,Cloudy
92,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11283.jpg,Cloudy
93,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11307.jpg,Cloudy
94,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12343.jpg,Cloudy
95,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12119.jpg,Cloudy
96,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12089.jpg,Cloudy
97,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12112.jpg,Cloudy
98,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12097.jpg,Cloudy
99,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12058.jpg,Cloudy
100,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12016.jpg,Cloudy
101,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12068.jpg,Cloudy
102,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12009.jpg,Cloudy
103,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12038.jpg,Cloudy
104,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12072.jpg,Cloudy
105,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12.jpg,Cloudy
106,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11844.jpg,Cloudy
107,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11896.jpg,Cloudy
108,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11820.jpg,Cloudy
109,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11904.jpg,Cloudy
110,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11871.jpg,Cloudy
111,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11979.jpg,Cloudy
112,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1194.jpg,Cloudy
113,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11981.jpg,Cloudy
114,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11937.jpg,Cloudy
115,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11805.jpg,Cloudy
116,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_118.jpg,Cloudy
117,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11740.jpg,Cloudy
118,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11673.jpg,Cloudy
119,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_11757.jpg,Cloudy
120,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12975.jpg,Cloudy
121,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1297.jpg,Cloudy
122,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12713.jpg,Cloudy
123,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12737.jpg,Cloudy
124,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12928.jpg,Cloudy
125,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12924.jpg,Cloudy
126,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12770.jpg,Cloudy
127,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12701.jpg,Cloudy
128,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12724.jpg,Cloudy
129,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1283.jpg,Cloudy
130,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12682.jpg,Cloudy
131,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12536.jpg,Cloudy
132,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12611.jpg,Cloudy
133,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1256.jpg,Cloudy
134,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12517.jpg,Cloudy
135,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12502.jpg,Cloudy
136,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12421.jpg,Cloudy
137,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12500.jpg,Cloudy
138,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12365.jpg,Cloudy
139,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12525.jpg,Cloudy
140,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12313.jpg,Cloudy
141,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12360.jpg,Cloudy
142,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12239.jpg,Cloudy
143,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12353.jpg,Cloudy
144,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12316.jpg,Cloudy
145,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12211.jpg,Cloudy
146,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12191.jpg,Cloudy
147,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12235.jpg,Cloudy
148,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_12204.jpg,Cloudy
149,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13442.jpg,Cloudy
150,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13464.jpg,Cloudy
151,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13404.jpg,Cloudy
152,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13407.jpg,Cloudy
153,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13413.jpg,Cloudy
154,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13370.jpg,Cloudy
155,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1339.jpg,Cloudy
156,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13497.jpg,Cloudy
157,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13475.jpg,Cloudy
158,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13219.jpg,Cloudy
159,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13248.jpg,Cloudy
160,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13312.jpg,Cloudy
161,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13130.jpg,Cloudy
162,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13292.jpg,Cloudy
163,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13167.jpg,Cloudy
164,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13282.jpg,Cloudy
165,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1336.jpg,Cloudy
166,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13262.jpg,Cloudy
167,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13300.jpg,Cloudy
168,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13129.jpg,Cloudy
169,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13114.jpg,Cloudy
170,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13078.jpg,Cloudy
171,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13110.jpg,Cloudy
172,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13124.jpg,Cloudy
173,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13047.jpg,Cloudy
174,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13011.jpg,Cloudy
175,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13006.jpg,Cloudy
176,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13016.jpg,Cloudy
177,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13069.jpg,Cloudy
178,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14180.jpg,Cloudy
179,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14060.jpg,Cloudy
180,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13830.jpg,Cloudy
181,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14034.jpg,Cloudy
182,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1391.jpg,Cloudy
183,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14.jpg,Cloudy
184,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14024.jpg,Cloudy
185,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_138.jpg,Cloudy
186,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13792.jpg,Cloudy
187,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13887.jpg,Cloudy
188,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14009.jpg,Cloudy
189,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13785.jpg,Cloudy
190,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13749.jpg,Cloudy
191,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13647.jpg,Cloudy
192,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1378.jpg,Cloudy
193,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1374.jpg,Cloudy
194,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13613.jpg,Cloudy
195,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13560.jpg,Cloudy
196,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13602.jpg,Cloudy
197,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1360.jpg,Cloudy
198,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13628.jpg,Cloudy
199,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_13502.jpg,Cloudy
200,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14667.jpg,Cloudy
201,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14654.jpg,Cloudy
202,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14659.jpg,Cloudy
203,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14558.jpg,Cloudy
204,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14592.jpg,Cloudy
205,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14509.jpg,Cloudy
206,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14591.jpg,Cloudy
207,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14542.jpg,Cloudy
208,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1450.jpg,Cloudy
209,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14634.jpg,Cloudy
210,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14462.jpg,Cloudy
211,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14403.jpg,Cloudy
212,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14404.jpg,Cloudy
213,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14381.jpg,Cloudy
214,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14265.jpg,Cloudy
215,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14238.jpg,Cloudy
216,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14352.jpg,Cloudy
217,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14320.jpg,Cloudy
218,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14240.jpg,Cloudy
219,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14394.jpg,Cloudy
220,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14210.jpg,Cloudy
221,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14198.jpg,Cloudy
222,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14175.jpg,Cloudy
223,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14181.jpg,Cloudy
224,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14179.jpg,Cloudy
225,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14100.jpg,Cloudy
226,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14090.jpg,Cloudy
227,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14091.jpg,Cloudy
228,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14107.jpg,Cloudy
229,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_15137.jpg,Cloudy
230,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_15077.jpg,Cloudy
231,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_15165.jpg,Cloudy
232,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_15052.jpg,Cloudy
233,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_15171.jpg,Cloudy
234,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1520.jpg,Cloudy
235,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_15012.jpg,Cloudy
236,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14978.jpg,Cloudy
237,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14991.jpg,Cloudy
238,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14975.jpg,Cloudy
239,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1500.jpg,Cloudy
240,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14977.jpg,Cloudy
241,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14947.jpg,Cloudy
242,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14942.jpg,Cloudy
243,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1492.jpg,Cloudy
244,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14932.jpg,Cloudy
245,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1490.jpg,Cloudy
246,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1479.jpg,Cloudy
247,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14773.jpg,Cloudy
248,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14895.jpg,Cloudy
249,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1483.jpg,Cloudy
250,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14835.jpg,Cloudy
251,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1486.jpg,Cloudy
252,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14787.jpg,Cloudy
253,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14869.jpg,Cloudy
254,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_14862.jpg,Cloudy
255,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_15823.jpg,Cloudy
256,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_15742.jpg,Cloudy
257,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_1550.jpg,Cloudy
258,/content/drive/MyDrive/Interview Prep/Satellite Image ML AI/data/cloudy/train_15562.jpg,Cloudy
